,method,Ntrain,kernel,train_error,test_error
196,GPC,50,"Matern(length_scale=25, nu=1.5)",0.006802721088435374,0.3197863003243656
197,GPC,100,"Matern(length_scale=25, nu=1.5)",0.0,0.1451581221763897
198,GPC,500,"Matern(length_scale=25, nu=1.5)",0.006680026720106882,0.039835517861732214
199,GPC,20,"Matern(length_scale=75, nu=1.5)",0.2631578947368421,0.6805477396360908
200,GPC,50,"Matern(length_scale=75, nu=1.5)",0.1904761904761905,0.4792978439229154
201,GPC,100,"Matern(length_scale=75, nu=1.5)",0.101010101010101,0.22078177175407585
202,GPC,500,"Matern(length_scale=75, nu=1.5)",0.05477621910487642,0.07478797224363917
203,GPC,20,"Matern(length_scale=1, nu=0.5)",0.0,0.4365034702682423
204,GPC,50,"Matern(length_scale=1, nu=0.5)",0.0,0.2156077084525853
205,GPC,100,"Matern(length_scale=1, nu=0.5)",0.0,0.09762325672755844
206,GPC,500,"Matern(length_scale=1, nu=0.5)",0.0,0.02878437419686456
207,GPC,20,"Matern(length_scale=7.5, nu=0.5)",0.0,0.40423935471768896
208,GPC,50,"Matern(length_scale=7.5, nu=0.5)",0.0,0.2543407746613242
209,GPC,100,"Matern(length_scale=7.5, nu=0.5)",0.0,0.1532115497937537
210,GPC,500,"Matern(length_scale=7.5, nu=0.5)",0.0,0.034438447699820095
211,GPC,20,"Matern(length_scale=10, nu=0.5)",0.0,0.5087225661226787
212,GPC,50,"Matern(length_scale=10, nu=0.5)",0.0,0.2663613814157604
213,GPC,100,"Matern(length_scale=10, nu=0.5)",0.0,0.1176586132390493
214,GPC,500,"Matern(length_scale=10, nu=0.5)",0.0,0.04369056797738372
215,GPC,20,"Matern(length_scale=25, nu=0.5)",0.0,0.5323579065841305
216,GPC,50,"Matern(length_scale=25, nu=0.5)",0.0,0.3842778095783248
217,GPC,100,"Matern(length_scale=25, nu=0.5)",0.0,0.2361029267334512
218,GPC,500,"Matern(length_scale=25, nu=0.5)",0.008684034736138945,0.05576972500642508
219,GPC,20,"Matern(length_scale=75, nu=0.5)",0.12280701754385966,0.6933033202025887
